
2025/02/10 (13:58:51) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:58:51) | INFO: Running on /dev/pts/4
2025/02/10 (13:58:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:58:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:58:51) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:58:51) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:58:51) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:59:52) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:59:52) | INFO: Quitting! Runtime: 00:01:01

2025/02/10 (13:59:53) | ===> btop++ v.1.4.0
2025/02/10 (13:59:53) | INFO: Logger set to DEBUG
2025/02/10 (13:59:53) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:59:53) | INFO: Running on /dev/pts/4
2025/02/10 (13:59:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:59:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:59:53) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:59:53) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:59:53) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:59:53) | ERROR: Invalid size of hex value: 9eca
2025/02/10 (14:02:14) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (14:02:14) | INFO: Quitting! Runtime: 00:02:21

2025/02/10 (14:02:15) | ===> btop++ v.1.4.0
2025/02/10 (14:02:15) | INFO: Logger set to DEBUG
2025/02/10 (14:02:15) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (14:02:15) | INFO: Running on /dev/pts/4
2025/02/10 (14:02:15) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (14:02:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (14:02:15) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (14:02:15) | DEBUG: Shared::init() : Initialized.
2025/02/10 (14:02:15) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/10 (16:05:43) | ===> btop++ v.1.4.0
2025/02/10 (16:05:43) | INFO: Logger set to DEBUG
2025/02/10 (16:05:43) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (16:05:43) | INFO: Running on /dev/pts/1
2025/02/10 (16:05:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (16:05:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (16:05:43) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (16:05:43) | DEBUG: Shared::init() : Initialized.
2025/02/10 (16:05:43) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (16:07:57) | INFO: Quitting! Runtime: 00:02:14

2025/02/10 (22:21:24) | ===> btop++ v.1.4.0
2025/02/10 (22:21:24) | INFO: Logger set to DEBUG
2025/02/10 (22:21:24) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (22:21:24) | INFO: Running on /dev/pts/2
2025/02/10 (22:21:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (22:21:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (22:21:24) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (22:21:24) | DEBUG: Shared::init() : Initialized.
2025/02/10 (22:21:24) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/12 (13:30:05) | ===> btop++ v.1.4.0
2025/02/12 (13:30:05) | INFO: Logger set to DEBUG
2025/02/12 (13:30:05) | DEBUG: Using locale en_US.UTF-8
2025/02/12 (13:30:05) | INFO: Running on /dev/pts/1
2025/02/12 (13:30:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/12 (13:30:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/12 (13:30:05) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/12 (13:30:05) | DEBUG: Shared::init() : Initialized.
2025/02/12 (13:30:05) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/12 (13:31:50) | INFO: Quitting! Runtime: 00:01:45

2025/02/14 (18:49:24) | ===> btop++ v.1.4.0
2025/02/14 (18:49:24) | INFO: Logger set to DEBUG
2025/02/14 (18:49:24) | DEBUG: Using locale en_US.UTF-8
2025/02/14 (18:49:24) | INFO: Running on /dev/pts/0
2025/02/14 (18:49:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/14 (18:49:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/14 (18:49:24) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/14 (18:49:24) | DEBUG: Shared::init() : Initialized.
2025/02/14 (18:49:24) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/14 (20:53:33) | ===> btop++ v.1.4.0
2025/02/14 (20:53:33) | INFO: Logger set to DEBUG
2025/02/14 (20:53:33) | DEBUG: Using locale en_US.UTF-8
2025/02/14 (20:53:33) | INFO: Running on /dev/pts/2
2025/02/14 (20:53:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/14 (20:53:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/14 (20:53:33) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/14 (20:53:33) | DEBUG: Shared::init() : Initialized.
2025/02/14 (20:53:33) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/16 (14:11:10) | ===> btop++ v.1.4.0
2025/02/16 (14:11:10) | INFO: Logger set to DEBUG
2025/02/16 (14:11:10) | DEBUG: Using locale en_US.UTF-8
2025/02/16 (14:11:10) | INFO: Running on /dev/pts/0
2025/02/16 (14:11:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/16 (14:11:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/16 (14:11:10) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/16 (14:11:10) | DEBUG: Shared::init() : Initialized.
2025/02/16 (14:11:10) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/17 (14:03:27) | ===> btop++ v.1.4.0
2025/02/17 (14:03:27) | INFO: Logger set to DEBUG
2025/02/17 (14:03:27) | DEBUG: Using locale en_US.UTF-8
2025/02/17 (14:03:27) | INFO: Running on /dev/pts/3
2025/02/17 (14:03:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/17 (14:03:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/17 (14:03:27) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/17 (14:03:27) | DEBUG: Shared::init() : Initialized.
2025/02/17 (14:03:27) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/17 (15:06:46) | ===> btop++ v.1.4.0
2025/02/17 (15:06:46) | INFO: Logger set to DEBUG
2025/02/17 (15:06:46) | DEBUG: Using locale en_US.UTF-8
2025/02/17 (15:06:46) | INFO: Running on /dev/pts/1
2025/02/17 (15:06:46) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/17 (15:06:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/17 (15:06:46) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/17 (15:06:46) | DEBUG: Shared::init() : Initialized.
2025/02/17 (15:06:46) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/19 (03:35:49) | ===> btop++ v.1.4.0
2025/02/19 (03:35:49) | INFO: Logger set to DEBUG
2025/02/19 (03:35:49) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (03:35:49) | INFO: Running on /dev/pts/2
